J8
H9
J8,H9
J8,J7
J8,H8
H9,H8
J8,D7
J8,H9,H8
H9,H8,F8
J8,H8,H7
J6,J7,J8
H7,F7,J8
J8,D7,H9
F6,F7,F8
J8,H9,H8,F8
J8,B4
J8,H8,H7,H9
H9,H8,F8,H7
J8,H9,B4
J8,J7,B4
J8,H8,B4
J8,D3
J8,H8,H7,H9,F8
H9,H8,F8,H7,F7
J8,H9,H8,H7,F5
J8,B4,H9,H8
J8,D3,J7
J8,D3,H8
J8,H8,B4,H7
D6,D7,H9,J6,J8
H7,F7,H8,F8,H9,J8
D6,D7,J6,J7,J8
J8,D7,H9,B4
J8,J7,B4,D5
J8,B4,H9,H8,F8
J8,D3,H8,F8
J8,H8,B4,H7,H9
D6,D7,H9,J6,J7,J8
J8,D3,J7,J6
J8,D7,H9,B4,H8
J8,H8,H7,H9,F8,F7,D7
F6,F4,F3,H9
J8,J7,B4,D5,H9
D6,B4,D5,F5
J4,J5,J8,H8,F5
D4,D5,D7,F4
J8,B4,H9,H8,F8,H7
J8,D3,H8,F8,H7
F6,F4,F3,J5
J8,D7,H9,B4,H8,F8
J8,H8,H7,H9,F8,F7,D7,J7
J8,J7,B4,D5,H9,H8
J8,H8,H7,H9,F8,F7,D7,J5
D6,D7,F8,H8,H9,J6,J7,J8
H9,H8,F8,H7,F7,J8,B4
J8,D3,H8,F8,H7,F7
D4,D5,D7,F4,F5
J8,D7,H9,B4,H8,F8,H7
B4,D7,F7,F8,H7,H8,J8
J8,J7,B4,D5,H9,H8,F8
H9,B4,H8,F8,H7,F7,D7
J8,H8,H7,H9,F8,F7,D7,J7,J6
D6,B4,D5,F5,F4
J8,H8,H7,H9,F8,F7,D7,J5,J7
J8,D3,H8,F8,H7,F7,H9
J8,D3,J7,J6,B4
J8,H8,H7,H9,F8,F7,D7,J5,J6
D6,D7,H6,H7,H8,H9,J6,J7,J8
B4,H9,H8,F8,H7,F7,D7,J8
J8,H9,B4,H8,H7,F8,F7,J5
D6,D7,F6,F7,F8,H6,H7,H8,H9
J8,J7,B4,D5,H9,H8,F8,H7
F6,F7,F8,H6,H7,H8,H9,J6,J7,J8
J8,H9,H8,F8,H7,F7,D7,J5,J7,J6
D4,D5,F5,F4,H9,J8,J5
D6,D7,F7,F8,H7,H8,H9,J6,J7,J8
H9,H8,F8,H7,F7,J8,B4,D7,J7
J8,D3,H8,F8,H7,F7,H9,D7
H9,H8,F8,H7,F7,J8,B4,D7,J6
J8,B4,H9,H8,F8,H7,F7,D4
J8,H9,H8,J7,F3,F4,F5,F6
J8,J7,B4,D5,H9,H8,F8,H7,F7
J8,D3,J7,J6,B4,D5
J8,D7,H9,B4,H8,F8,H7,F7,J5
D7,F4,F5,F6,F7,F8,H8,H9,J5,J8
J8,H9,B4,H8,H7,F8,F7,J5,H4
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6
J8,D3,J7,J6,B4,D5,H9
J8,H9,H8,F8,H7,F7,D7,B4,D4
J8,J7,B4,D5,H9,H8,F8,H7,F7,D7
J8,B4,H9,H8,F8,H7,F7,D4,D5
D5,D6,D7,F3,F4,F5,F6,F8
D6,D7,F6,F7,F8,H6,H7,H8,H9,J6,J7,J8
J8,H8,H7,H9,F8,F7,D7,J5,J6,J7,D4
D2,D5,D4,D7
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4
J8,H8,H7,H9,F8,F7,D7,J7,J6,J5,J4
J8,H8,H7,H9,F8,F7,D7,J5,J6,J7,B4
J8,D3,J7,J6,B4,D5,H9,D6
J8,D3,H8,F8,H7,F7,H9,D7,B4
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5
B4,D6,D7,F3,F4,F5,F6,F8
J8,B4,H9,H8,F8,H7,F7,D4,D5,J5
D3,D4,D5,H7,H8,H9,J8,J7,F7,F8
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7 
D5,D6,D7,F3,F4,F5,F6,H8,H9,J8
J8,H8,H7,H9,F8,F7,D7,J5,J6,J7,D4,D5
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6
J8,H8,H7,H9,F8,F7,D7,J7,J6,J5,J4,D6
J8,D3,J7,J6,B4,D5,H9,D6,J5
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5,J7
J8,D3,H8,F8,H7,F7,H9,D7,B4,J5
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5,J6
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4
J8,B4,H9,H8,F8,H7,F7,D4,D5,J5,D7
D5,D6,D7,F3,F4,F5,F6,F7,F8,H8,H9
J8,H8,H7,H9,F8,F7,D7,J5,J6,J7,B4,D4
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8
B4,D6,D7,F3,F4,F5,F6,F8,H8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5,J6,J7
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4
D4,D7,J6,J7,D6,H5,H3,F3,H7,H8
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D5
D3,D4,D5,H7,H8,H9,J8,J7,F7,F8,H6,F6
D3,D5,D4,F5,H2,H8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6
B4,D4,D5,D6,D7,F4,F5,F6,H9,J5,J8
J8,H9,H8,F8,H7,F7,D7,J5,J7,J6,D4,D5,B4
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4,D6
D5,D6,D7,F3,F4,F5,F6,F7,F8,H7,H8,H9,J8
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5
B3,D2,D5,D4,J7
J8,H9,H8,F8,H7,F7,D7,J5,J7,J6,D4,D5,D3
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6
F3,B4,F4,D5,F5,H5,D6,J6,D7,J7,J8,H9
J8,J7,B4,D5,H9,H8,F8,H7,F7,D7,D4,D3
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7
J8,B4,H9,H8,F8,H7,F7,D4,D5,J5,D7,D3
B4,D4,D5,D6,D7,F4,F5,F6,F8,H8,H9,J5,J8
J8,H8,H7,H9,F8,F7,D7,J7,J6,J5,J4,D6,B4,D5
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5
B3,D2,D5,D4,J8,F5
D3,D4,D5,H7,H8,H9,J8,J7,F7,F8,H6,F6,H5,F5
F3,B4,F4,D5,F5,H5,D6,J6,D7,J7,H8,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5
J8,J7,B4,D5,H9,H8,F8,H7,F7,D7,D4,D3,J6
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7,D7
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5,J6,J7,J5,J4
J8,B4,H9,H8,F8,H7,F7,D4,D5,J5,D7,D3,J6
F3,B4,F4,D5,F5,H5,D6,J6,D7,J7,F8,H8,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5,F5
F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,J8,H9
J8,H9,H8,F8,H7,F7,D7,J5,J7,J6,D4,D5,B4,D3
D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J5,J7,J8
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D3
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4,D6,D5,D4
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3
F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,H8,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6,H5
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7,D7,D4
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3,J7
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3,J6
F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,F8,H8,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5,F5,H4
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3,17
D3,D4,D5,H7,H8,H9,J8,J7,F7,F8,H6,F6,H5,F5,H4,F4
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3,J6,J7
J8,H9,H8,F8,H7,F7,D7,B4,D4,D5,J6,J7,J5,J4,D3
D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J4,J5,J7,J8
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3,J6
D7,D6,D5,F4,F3,F5,J4,J2
D3,F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5,F5,H4,F4
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3,J6,J7
B3,D2,D5,D4,J8,F5,F3,H8,F8,H9
D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J4,J5,J6,J7,J8
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6,H5,H3
D2,D5,D4,J6,J7,D6,B4,F5,H6,H4,F4,H8
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4,D6,D5,D4,D3
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7,D7,D4,H3
D3,F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,H8,J8,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6,H5,H3,J6
B4,B3,D2,D4,F3,F4,F5,J7,J8
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3,J6,J7,J4
B4,D4,D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J5,J7,J8
B2,B4,F5,J2
B3,D2,D5,D4,F5,F2,H7,F7
D3,F3,B4,D4,F4,D5,F5,H5,D6,J6,D7,J7,F8,H8,J8,H9
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4,D6,D5,D4,D3,H5
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5,F5,H4,F4,D4
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7,D7,D4,H3,H4
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6,H5,H3,J6,F6
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3,J6,J7,J4
H9,H8,F8,H7,F7,J8,B4,D7,J7,J6,J5,J4,D6,D5,D4,D3,H5,F5
J8,H9,B4,H8,H7,F8,F7,J5,H4,F4,D4,D5,D3,J6,J7,J4,D6
B4,D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J4,J5,J6,J7,J8
J8,H8,H7,H9,F8,F7,D7,J5,J6,J7,D4,D5,B4,D3,D2
J8,D3,J7,J6,B4,D5,H9,D6,J5,H8,F8,H7,F7,D7,D4,H3,H4,H5
J8,D3,H8,F8,H7,F7,H9,D7,B4,J7,J5,H4,F4,H6,H5,H3,J6,F6,F5
D2,D5,D4,D6,B4,J4,F5,F3,H6,H4,F4,H9
J8,D3,H8,F8,H7,F7,H9,D7,B4,J6,J5,H6,F6,H5,F5,H4,F4,D4,D5
J8,D7,H9,B4,H8,F8,H7,F7,J5,H4,F4,D4,D5,D3,J6,J7,J4,D6
D3,D4,D5,H7,H8,H9,J8,J7,F7,F8,H6,F6,H5,F5,H4,F4,H3,F3
B4,D4,D5,D6,D7,F4,F5,F6,F7,F8,H4,H5,H6,H7,H8,H9,J4,J5,J7,J8
